SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.000978387,84,0,0.000239981,4166.0,10,0,0,0,0.0
0,0.162014574,59,0,0.227179873,9300.0,11,0,2,0,0.0
0,0.211746872,58,0,0.550530688,6500.0,19,0,3,0,2.0
0,0.890780928,56,0,810.0,,10,0,0,0,
0,0.698894671,59,2,0.268481452,11240.0,17,0,1,0,1.0
0,0.073895602,59,0,0.359386718,12000.0,14,0,3,0,0.0
0,0.579014629,41,0,0.315595467,25500.0,8,0,2,0,2.0
1,0.934410132,46,0,1.325593761,5641.0,10,0,3,0,4.0
0,0.037250235,71,0,1413.0,,12,0,1,0,0.0
0,0.630602782,26,1,0.401434471,4600.0,6,0,1,0,0.0
0,0.019961525,89,0,0.009996668,3000.0,5,0,0,0,0.0
0,0.409173443,74,0,20637.0,,8,0,5,0,0.0
0,0.007514924,81,0,0.001953125,3583.0,6,0,0,0,0.0
0,0.363644502,60,0,0.453299057,3500.0,15,0,2,0,0.0
0,0.0,57,0,916.0,,2,0,1,0,0.0
0,0.049598196,66,0,0.192802057,3500.0,4,0,1,0,1.0
0,0.606452131,47,0,0.253418711,9213.0,7,0,1,0,0.0
0,0.101304055,57,0,0.114923635,14600.0,5,0,1,0,1.0
0,0.227500949,49,0,0.604197901,2000.0,9,0,1,0,1.0
0,0.031055648,80,0,0.093386662,10750.0,3,0,1,0,1.0
0,0.030532655,44,0,0.384959047,9400.0,11,0,2,0,1.0
0,0.390597133,59,0,1.078640453,3000.0,16,0,2,0,0.0
0,0.021158483,79,0,0.119584395,5100.0,8,0,1,0,0.0
1,0.9999999,79,1,0.036151065,13000.0,1,3,0,0,1.0
0,0.135815991,64,0,2698.0,,6,0,2,0,0.0
0,0.121762915,51,0,0.340933216,21666.0,14,0,3,0,2.0
0,0.091052819,56,0,0.100674209,8750.0,11,0,1,0,0.0
0,0.689456909,64,0,0.227943014,4000.0,3,0,1,0,3.0
0,0.320247463,52,0,0.667698167,4200.0,12,0,3,0,1.0
0,0.090063063,35,0,0.220038998,6666.0,7,0,2,0,0.0
0,0.0,42,0,0.060381769,7700.0,6,0,0,0,4.0
1,0.683077466,62,2,0.195707816,5078.0,3,1,0,0,2.0
0,0.156273233,43,0,0.125609299,8000.0,33,0,0,0,1.0
0,0.357652311,46,0,0.128363476,6800.0,6,0,0,0,3.0
0,0.034806701,43,0,4274.0,,10,0,3,0,1.0
0,0.006203828,45,0,0.075792421,10000.0,4,0,1,0,4.0
0,0.222156347,49,0,0.245525586,11900.0,12,0,2,0,2.0
0,0.9999999,31,0,0.001349528,8150.0,0,3,0,0,0.0
0,0.025927356,58,0,0.406790252,4800.0,9,0,1,0,0.0
0,0.037780966,69,0,25.0,,4,0,0,0,0.0
0,0.017913561,77,0,0.014084507,2200.0,8,0,0,0,0.0
0,0.9999999,53,0,0.164704129,6708.0,9,0,1,0,0.0
0,0.507905528,31,0,0.324875298,4610.0,9,0,0,0,1.0
1,0.476518696,56,5,0.280228909,10833.0,15,2,2,0,0.0
0,0.129974005,88,0,29.0,,5,0,0,0,0.0
0,0.016898322,75,0,0.079533768,5833.0,8,0,1,0,0.0
0,0.116667538,42,0,0.193883225,10789.0,6,0,1,0,2.0
0,0.065953698,32,0,0.308569143,10000.0,7,0,2,0,2.0
0,0.176717198,84,3,0.185168072,8656.0,14,0,1,0,0.0
0,0.066783797,60,0,0.192623468,7916.0,15,0,1,0,0.0
0,0.238536065,67,0,0.313285397,14880.0,18,0,4,0,0.0
0,0.030612592,40,0,3491.0,,16,0,2,0,4.0
0,0.075347397,65,0,1393.0,,8,0,1,0,0.0
0,0.012843349,33,0,445.0,,5,0,0,0,0.0
0,0.954627949,56,2,0.304916986,3131.0,6,1,0,0,3.0
0,0.9999999,27,0,371.0,,4,0,0,0,0.0
0,0.390489311,38,3,0.41424826,11060.0,12,0,1,0,4.0
0,0.4701557,46,0,0.172745788,5400.0,7,0,0,0,1.0
0,0.319361277,22,0,0.00111576,3584.0,1,0,0,0,0.0
0,1.002307337,31,0,0.244521338,2600.0,5,0,0,0,3.0
0,0.777875329,48,0,0.51069786,5000.0,11,0,2,0,1.0
0,0.029219227,50,0,0.405585251,9166.0,9,0,1,0,1.0
0,0.144361012,33,0,0.746169466,5416.0,6,0,2,0,0.0
0,0.038303387,66,0,1283.0,,5,0,1,0,0.0
0,0.53342028,49,0,0.538858658,7166.0,8,1,3,0,0.0
0,0.020809686,88,0,0.003088153,3561.0,4,0,0,0,0.0
1,0.023429246,57,1,0.284153534,10342.0,19,0,1,0,1.0
0,0.046461767,74,0,0.01228913,8950.0,8,0,0,0,0.0
0,0.033741501,62,0,0.230452322,11650.0,11,0,1,0,2.0
1,0.691918598,60,0,0.427929951,2226.0,8,0,0,0,0.0
0,0.381735363,33,0,0.728049446,5500.0,12,0,2,0,0.0
0,0.789916851,37,4,0.306215503,4166.0,8,1,0,0,0.0
0,0.006666296,34,0,221.0,,8,0,0,0,0.0
0,0.514817451,48,0,0.764411811,6400.0,19,0,1,0,1.0
0,0.279616862,41,0,2669.0,,15,0,1,0,0.0
0,0.297763846,38,0,2485.0,,9,0,2,0,
0,0.829034193,63,0,757.0,,7,0,1,0,0.0
1,0.9999999,38,1,1708.0,,5,1,1,2,0.0
0,0.069903312,56,0,690.0,,12,0,0,0,0.0
1,1.00999001,23,0,0.020675396,1450.0,2,0,0,0,0.0
0,0.002739651,71,0,0.249628315,20850.0,5,0,1,0,3.0
0,0.081597097,70,0,0.025790439,9266.0,12,0,0,0,0.0
0,0.092322514,60,2,0.250139587,10745.0,20,0,2,0,2.0
0,0.9999999,25,0,0.167734421,1716.0,2,0,0,0,0.0
0,0.934520717,58,1,1.241460542,14432.0,17,0,3,0,2.0
0,0.032456981,78,0,0.286634818,9000.0,6,0,2,0,0.0
0,0.258544127,56,0,0.223231397,12000.0,6,0,1,0,3.0
0,0.050462866,36,0,0.208395802,2000.0,7,0,0,0,0.0
0,0.023203461,53,0,0.016490765,3031.0,7,0,0,0,2.0
0,0.268749107,31,0,0.111662134,6250.0,4,0,0,0,0.0
0,0.469312884,45,1,0.25436445,6930.0,13,0,1,0,4.0
0,0.545961766,61,0,3347.0,,23,0,1,0,0.0
0,0.9999999,36,0,0.083277815,1500.0,0,0,0,0,0.0
0,0.9999999,60,0,1908.0,,4,0,3,0,0.0
0,0.116645737,59,0,0.189787116,7186.0,9,0,1,0,0.0
0,0.852981045,54,0,0.629885475,5500.0,14,0,2,0,0.0
0,0.9999999,23,1,0.002309469,432.0,1,0,0,0,0.0
0,0.18354338,32,0,0.014673419,7700.0,11,0,0,0,0.0
0,0.019808581,72,0,12.0,,2,0,0,0,0.0
1,0.9999999,57,0,0.378332771,2962.0,2,1,1,0,0.0
0,0.027887856,31,0,115.0,,6,0,0,0,0.0
0,0.019855725,31,0,0.106094808,3100.0,6,0,0,0,1.0
0,0.024066108,47,0,0.118602119,10100.0,13,0,3,0,3.0
0,0.12737181,45,0,0.517084617,6818.0,8,0,2,0,2.0
0,0.9999999,36,0,972.0,,3,0,1,0,
0,0.59170526,59,0,0.413179705,4946.0,9,0,1,0,2.0
0,0.199432555,52,0,0.293202106,4368.0,11,0,1,0,3.0
0,0.208874034,63,0,4873.0,,17,0,6,0,0.0
0,0.016609606,63,0,1931.0,,10,0,2,0,
0,0.28345248,53,0,902.0,,6,0,0,0,0.0
0,1.000893275,44,0,0.597652219,7751.0,11,0,3,0,0.0
0,0.003528323,53,0,2707.0,,16,0,1,0,1.0
0,0.0,69,0,1199.0,,5,0,1,0,0.0
0,0.0,78,0,0.125070893,33500.0,4,0,1,0,0.0
0,0.318223755,70,0,0.333459644,7916.0,21,0,0,0,1.0
0,0.177641118,48,0,0.531518625,5583.0,10,0,2,0,0.0
0,0.034696205,59,0,0.231621721,5413.0,10,0,1,0,1.0
0,0.014303639,46,0,0.591946187,11000.0,16,0,4,0,0.0
0,0.255991173,56,0,5298.0,,6,0,3,0,0.0
0,0.313664639,78,0,707.0,,5,0,0,0,0.0
0,0.0,59,0,0.070315675,7380.0,2,0,0,0,1.0
0,0.428077743,50,0,0.482085191,13005.0,13,0,3,0,2.0
0,0.100628048,69,0,0.232911133,19500.0,12,0,3,0,0.0
0,0.004945383,27,0,0.414634146,2500.0,8,0,1,0,0.0
0,0.069882642,53,0,0.015786704,5700.0,5,0,0,0,1.0
0,0.029323098,42,0,0.130271157,10362.0,6,0,1,0,0.0
0,0.118165418,68,0,0.084806285,5600.0,8,0,0,0,0.0
0,0.332876381,61,0,1654.0,,15,0,1,0,2.0
0,0.044766138,50,0,0.21794638,5482.0,11,0,1,0,2.0
0,0.040355863,58,0,0.208719419,15000.0,17,0,2,0,2.0
1,0.9999999,27,1,0.316675434,1900.0,7,0,0,0,1.0
0,0.204511442,71,0,0.357528494,3333.0,11,0,1,0,0.0
0,0.004618381,52,0,0.185602618,5500.0,6,0,1,0,0.0
0,0.688245097,43,0,0.538812785,9416.0,8,0,1,0,0.0
0,0.072014385,31,0,0.351385128,4800.0,12,0,2,0,0.0
0,0.087867223,61,0,0.55222525,1100.0,11,0,1,0,0.0
0,0.005848781,72,0,0.004998334,3000.0,8,0,0,0,0.0
0,0.157651357,67,0,408.0,,12,0,0,0,0.0
1,0.9999999,79,98,0.005342832,1122.0,0,98,0,98,0.0
0,0.383923115,39,0,0.359690979,4400.0,10,0,1,0,3.0
0,0.147604458,48,0,4210.0,,16,0,3,0,
1,0.055916327,43,0,0.479601632,8333.0,7,0,1,0,1.0
0,0.782012823,50,0,0.494334089,7500.0,13,0,2,0,1.0
0,0.255179004,60,0,0.213784301,4700.0,7,0,2,0,2.0
0,0.9999999,29,1,781.0,,2,1,0,0,0.0
0,0.865628457,27,1,0.26678092,3500.0,11,0,0,0,0.0
0,0.121075886,45,0,0.251617457,8500.0,12,0,1,0,2.0
